hostname,name,interfaces,description,role,app,env,loc,os,review
BIOS-MXJL20.IT.com.cl,BIOS-MXJL20,umwl:10.52.3.220,"[G2 P1 conf:Alta] BIOS-MXJL20.IT.com.cl · Controlador de dominio y DNS del sitio MXJL: sirve 53, 88, 135, 389 TCP+UDP, 445, 9389 (ADWS) y RPC dinámico (61523/61533) a los equipos del sitio; 4.906 flujos",DomainController,ActiveDirectory,Production,Site-MXJL,,PENDING
BIOS-PELM20.IT.com.cl,BIOS-PELM20,umwl:10.71.1.240,"[G2 P1 conf:Alta] BIOS-PELM20.IT.com.cl · Controlador de dominio y DNS del sitio PELM (53 TCP+UDP, 135, 389, 445, RPC dinámico); 4.242 flujos",DomainController,ActiveDirectory,Production,Site-PELM,,PENDING
IT.com-prd126.IT.com.cl,IT,umwl:10.124.8.15,"[G2 P1 conf:Alta] IT.com-prd126.IT.com.cl · Controlador de dominio del hub GCP (88, 135, 389, 445, 9389, RPC)",DomainController,ActiveDirectory,Production,GCP,,PENDING
IT.com-prd127.IT.com.cl,IT-16,umwl:10.124.8.16,[G2 P1 conf:Alta] IT.com-prd127.IT.com.cl · Controlador de dominio del hub GCP; además NTP 123/UDP y DNS 53/UDP,DomainController,ActiveDirectory,Production,GCP,,PENDING
IT.com-DS393.IT.com.cl,IT-90,umwl:10.124.10.90,"[G2 P1 conf:Alta] IT.com-DS393.IT.com.cl · Controlador de dominio (88, 123, 135, 389 TCP+UDP, 445, RPC); el más consultado por IT.com-GPRD64",DomainController,ActiveDirectory,Production,GCP,,PENDING
IT.com-COR80.IT.com.cl,IT-3,umwl:10.1.4.3,[G2 P1 conf:Alta] IT.com-COR80.IT.com.cl · Controlador de dominio del core; además NTP para los equipos de sitio,DomainController,ActiveDirectory,Production,Core,,PENDING
10.124.8.70,monitoring-10-124-8-70,umwl:10.124.8.70,"[G2 P1 conf:Alta] Servidor Zabbix: recibe 10051/TCP (chequeos activos) de las dos VMs GCP; 58.252 flujos, el proveedor interno de mayor volumen",Monitoring,Observability,Production,GCP,,PENDING
10.124.8.71,monitoring-10-124-8-71,umwl:10.124.8.71,"[G2 P1 conf:Alta] Sondas Zabbix: abren 10080/TCP (puerto de escucha del agente, no estándar) e ICMP hacia los VEN de GCP; 257.000 flujos combinados",Monitoring,Observability,Production,GCP,,PENDING
10.124.8.72,monitoring-10-124-8-72,umwl:10.124.8.72,"[G2 P1 conf:Alta] Sondas Zabbix: abren 10080/TCP (puerto de escucha del agente, no estándar) e ICMP hacia los VEN de GCP; 257.000 flujos combinados",Monitoring,Observability,Production,GCP,,PENDING
IT.comprd130.IT.com.cl,IT-30,umwl:10.124.10.30,"[G2 P1 conf:Alta] IT.comprd130.IT.com.cl · Proxy Zabbix: recibe 10051 de GPRD64 y ejecuta chequeos de puerto (10051, 3389, ICMP) hacia él",Monitoring,Observability,Production,GCP,,PENDING
IT.com-cor139.IT.com.cl,IT-18,umwl:10.27.2.18,"[G2 P1 conf:Alta] IT.com-cor139.IT.com.cl · Proxy Zabbix para los sitios: recibe 10051 de los dos BIOS-* y ejecuta chequeos (10051, 3389, ICMP)",Monitoring,Observability,Production,Core,,PENDING
10.1.2.37,monitoring-10-1-2-37,umwl:10.1.2.37,[G2 P1 conf:Alta] Servidor Nagios (o compatible): consume NSClient++ 5666 y 12489 (nscp.exe) e ICMP en los dos equipos de sitio; 15.661 flujos,Monitoring,Observability,Production,Core,,PENDING
wsus-servidores.IT.com.cl,wsus-servidores,umwl:10.1.5.130,[G2 P1 conf:Alta] wsus-servidores.IT.com.cl · WSUS: 8530/TCP desde los tres Windows,PatchMgmt,CoreInfra,Production,Core,,PENDING
10.124.8.169,logcollector-10-124-8-169,umwl:10.124.8.169,[G2 P1 conf:Alta] Relé de logs: recibe 1510/TCP del proceso logscale collector.exe de los tres Windows; también origina ICMP,LogCollector,Observability,Production,GCP,,PENDING
172.20.4.112,dns-172-20-4-112,umwl:172.20.4.112,"[G2 P1 conf:Alta] Resolutor DNS corporativo (53 TCP+UDP, ICMP) usado como secundario por los dos equipos de sitio",DNS,CoreInfra,Production,Core,,PENDING
10.124.8.1,dns-10-124-8-1,umwl:10.124.8.1,[G2 P2 conf:Media] Resolutor DNS de la VPC (gateway de subred GCP); 3.471 flujos desde GPRD64,DNS,CoreInfra,Production,GCP,,PENDING
10.1.24.125,dns-10-1-24-125,umwl:10.1.24.125,[G2 P2 conf:Media] DNS secundario para GPRD64,DNS,CoreInfra,Production,Core,,PENDING
10.124.8.155,bastion-10-124-8-155,umwl:10.124.8.155,"[G2 P2 conf:Media] Host de administración/automatización: SSH (root) a la VM RHEL, WinRM 5985 a PELM17, RDP, RPC/SMB, sondas UDP altas tipo traceroute",Bastion,AdminAccess,Production,GCP,,PENDING
10.124.192.37,bastion-10-124-192-37,umwl:10.124.192.37,[G2 P2 conf:Media] Origen SSH adicional hacia la VM RHEL,Bastion,AdminAccess,Production,GCP,,PENDING
10.124.8.197,bastion-10-124-8-197,umwl:10.124.8.197,[G2 P2 conf:Media] Origen de RDP e ICMP hacia GPRD64 y MXJL17 (salto administrativo),Bastion,AdminAccess,Production,GCP,,PENDING
10.52.2.189,bastion-10-52-2-189,umwl:10.52.2.189,"[G2 P2 conf:Media] Host del sitio MXJL con WinRM 5985, RPC y SMB hacia BIOS-MXJL17 (gestión local o distribución de software)",Bastion,AdminAccess,Production,Site-MXJL,,PENDING
172.24.192.2,agentmgmt-172-24-192-2,umwl:172.24.192.2,[G2 P2 conf:Media] Servidor de gestión del agente smartagent.exe (443/TCP cada ~10 min desde GPRD64 y PELM17); identificar el producto,AgentMgmt,SecurityTools,Production,Core,,PENDING
10.27.2.21,scanner-10-27-2-21,umwl:10.27.2.21,[G2 P3 conf:Media] Escáner/descubridor semanal (ver hallazgo S-01); crear el objeto recién cuando se confirme su identidad,Scanner,SecurityTools,Production,Core,,PENDING
10.38.14.10,monitoring-10-38-14-10,umwl:10.38.14.10,[G2 P3 conf:Media] Monitores ICMP adicionales (ping periódico a los VEN),Monitoring,Observability,Production,Core,,PENDING
10.254.2.134,monitoring-10-254-2-134,umwl:10.254.2.134,[G2 P3 conf:Media] Monitores ICMP adicionales (ping periódico a los VEN),Monitoring,Observability,Production,Core,,PENDING
10.254.2.138,monitoring-10-254-2-138,umwl:10.254.2.138,[G2 P3 conf:Media] Monitores ICMP adicionales (ping periódico a los VEN),Monitoring,Observability,Production,Core,,PENDING
10.254.2.139,monitoring-10-254-2-139,umwl:10.254.2.139,[G2 P3 conf:Media] Monitores ICMP adicionales (ping periódico a los VEN),Monitoring,Observability,Production,Core,,PENDING
