name,description,include,exclude,fqdns
ipl-poc-segment,"Segmento donde viven los cinco hosts con VEN, los dos bastiones, el gestor de agente de terceros y cinco emisores de broadcast 8082/UDP. Útil para reglas de ringfence intra-segmento y para detectar lateralidad",10.140.0.0/24,,
ipl-ad-domain-controllers,Complemento de los workloads no gestionados: permite escribir la regla de servicios básicos de AD de forma temprana y migrar después a etiquetas sin reescribir,10.29.0.10;10.29.4.10;10.29.0.54;10.29.4.54;10.29.4.52;10.29.4.57;10.29.4.59;10.29.0.52;10.29.0.57;10.29.0.59,,
ipl-ad-branch-dcs,"DCs de sucursal (DNS 53/TCP, RPC, receptores de DFSR). Consumen SMB 445 hacia los DCs centrales",10.52.120.1;10.54.120.1;10.56.120.1;10.59.120.1;10.152.120.1;10.155.120.1;10.157.120.1;10.254.120.1,,
ipl-dns-servers,Resolutores usados por los hosts POC (99% del volumen hacia 10.40.54.10),10.40.54.10;10.29.0.10;10.29.4.10,,
ipl-ntp-servers,NTP,10.29.35.210;10.29.39.239,,
ipl-web-proxies,Proxies 3128; única salida a Internet que debería existir desde servidores,10.28.10.89;10.28.11.69;10.25.11.31;10.25.10.228,,
ipl-monitoring-scrapers,Orígenes que consumen 9100/9182 e ICMP hacia los hosts,10.39.33.62;10.29.35.81;10.44.0.109;10.40.54.92,,
ipl-admin-bastions,Orígenes de SSH/RDP hacia los hosts POC,10.140.0.200;10.140.0.201;10.44.0.109,,
ipl-admin-workstations,"Estaciones que hacen RDP, ADWS 9389, LDAPS 636 y GC hacia los DCs (herramientas RSAT). Deben quedar identificadas para restringir RDP a DCs (hallazgo S-04)",10.36.4.87;10.36.5.142;10.41.27.8,,
ipl-ad-clients-users,"Subredes desde donde ≈150 hosts consumen Kerberos, LDAP, SMB y RPC de los DCs (ver anexo A). Los CIDR son agregaciones propuestas a partir de los /24 observados; ajustar al plan de direccionamiento real",10.152.20.0/22;10.152.38.0/23;10.212.0.0/19;10.222.0.0/18;10.155.20.0/22;10.157.20.0/22;10.59.22.0/23;10.52.23.0/24;10.54.22.0/23;10.36.4.0/23;10.46.1.0/24;10.46.2.0/24;10.40.54.0/24;10.29.0.0/22;10.29.7.0/24,,
ipl-ldap-gc-appliances,"Clientes LDAP/GC 3268 programados, uno por sitio",10.52.0.242;10.59.0.242;10.152.0.242;10.155.0.242;10.157.0.242;10.56.0.244,,
ipl-log-collectors,"Destinos de filebeat 5000, Event Log remoto y HIDS 1514",10.29.36.137;10.29.37.66;10.29.2.187;10.29.34.34;10.29.35.233,,
ipl-cloud-mgmt-endpoints,Endpoints 443 alcanzados por amazon-ssm-agent.exe/ssm-agent-worker.exe desde los DCs: interfaz privada del servicio de gestión cloud. Confirmar el CIDR del rango (posible 10.114.0.0/16) con el equipo de cloud,10.114.0.236;10.114.1.35;10.114.3.124;10.114.3.228,,
ipl-link-local-metadata,"Endpoint de metadata al que curl, powershell.exe e inspectorssmplugin intentan conectar desde los cinco hosts (15.556 flujos, 0 bytes). Documentarlo evita que aparezca como tráfico sin regla en enforcement",169.254.169.254/32,,
ipl-edr-cloud,"Nube del EDR. Preferible resolver primero el hallazgo S-01 (los sensores no logran intercambio de datos) y encaminar por proxy; si se mantiene salida directa, cargar la lista publicada por el fabricante",,,ts01-*.cloudsink.net
ipl-microsoft-update-cdn,Windows Update y Delivery Optimization directos desde los dos servidores Windows. Recomendación: no crear la lista y forzar la salida por proxy o WSUS (hallazgo S-02),,,*.windowsupdate.com;*.delivery.mp.microsoft.com
